counter,page_link
1,https://www.booking.com/hotel/sa/rkn-lshhmh-smt.ar.html
1,https://www.booking.com/hotel/sa/subt-jd.ar.html
1,https://www.booking.com/hotel/sa/a-new-studio-near-the-airport.ar.html
1,https://www.booking.com/hotel/sa/nzl-lbrkh.ar.html
1,https://www.booking.com/hotel/sa/stdyw-jdyd-btsmym-hdy.ar.html
1,https://www.booking.com/hotel/sa/shqh-nyqh-bgrf-nwm-w-slh.ar.html
1,https://www.booking.com/hotel/sa/jd-lflh.ar.html
1,https://www.booking.com/hotel/sa/modern-suite-2.ar.html
1,https://www.booking.com/hotel/sa/clever-entrance-comfortable-apartment-lryd.ar.html
1,https://www.booking.com/hotel/sa/shqq-fkhrh-njrn.ar.html
1,https://www.booking.com/hotel/sa/bsm-lbd.ar.html
1,https://www.booking.com/hotel/sa/shqh-fndqyh-fkhrh-llyjr-lywmy.ar.html
1,https://www.booking.com/hotel/sa/tala-residence-abha.ar.html
1,https://www.booking.com/hotel/sa/jadi-apartment.ar.html
1,https://www.booking.com/hotel/sa/faisaliah-house.ar.html
1,https://www.booking.com/hotel/sa/thrwh-1.ar.html
1,https://www.booking.com/hotel/sa/asiri-boutique-401-lmdyn-lmnwr.ar.html
1,https://www.booking.com/hotel/sa/msr-lty-f.ar.html
2,https://www.booking.com/hotel/sa/home-sweet-home-makkah.ar.html
2,https://www.booking.com/hotel/sa/studio-in-the-heart-of-riyadh.ar.html
2,https://www.booking.com/hotel/sa/al-barakah.ar.html
2,https://www.booking.com/hotel/sa/shqh-bh2.ar.html
2,https://www.booking.com/hotel/sa/rova.ar.html
2,https://www.booking.com/hotel/sa/noura-studio.ar.html
2,https://www.booking.com/hotel/sa/stdyw-fndqy-mryh-hy-lmlq.ar.html
2,https://www.booking.com/hotel/sa/modern-and-elegant-fully-furnished-apartment.ar.html
2,https://www.booking.com/hotel/sa/shq-fndqy-lty-f.ar.html
2,https://www.booking.com/hotel/sa/shq-mrhb.ar.html
2,https://www.booking.com/hotel/sa/grf-grftyn-thlth-grf-llyjr-lywmy-wlshhry.ar.html
2,https://www.booking.com/hotel/sa/stwdyw-llyjr.ar.html
2,https://www.booking.com/hotel/sa/shqh-mwdrn-riyadh.ar.html
2,https://www.booking.com/hotel/sa/stdyw-bdkhwl-dhty-lryd8.ar.html
2,https://www.booking.com/hotel/sa/stwdyw-nyq-lryd3.ar.html
2,https://www.booking.com/hotel/sa/shq-bgrf-whdh.ar.html
2,https://www.booking.com/hotel/sa/jdh-jdh14.ar.html
2,https://www.booking.com/hotel/sa/shq-mrhb-2.ar.html
2,https://www.booking.com/hotel/sa/nsym-lzrq.ar.html
2,https://www.booking.com/hotel/sa/elegant-room-with-all-services.ar.html
2,https://www.booking.com/hotel/sa/studio-with-smart-entry-for-an-exceptional.ar.html
2,https://www.booking.com/hotel/sa/home-sweet.ar.html
2,https://www.booking.com/hotel/sa/shq-5-h-lthrw.ar.html
2,https://www.booking.com/hotel/sa/lmsr-lmdynh-lmnwrh1.ar.html
2,https://www.booking.com/hotel/sa/stwdyw-nyq-sryr-mstr.ar.html
2,https://www.booking.com/hotel/sa/mlf-lryd.ar.html
2,https://www.booking.com/hotel/sa/stdyw-jdhb-wkbyr-bmtbkh-mstql.ar.html
2,https://www.booking.com/hotel/sa/comfortable-room-close-to-the-sea.ar.html
2,https://www.booking.com/hotel/sa/dnh-tybh.ar.html
2,https://www.booking.com/hotel/sa/tala-1.ar.html
2,https://www.booking.com/hotel/sa/stdyw-mw-thth-bdkhwl-dhty.ar.html
2,https://www.booking.com/hotel/sa/shq-nwr-jzn.ar.html
2,https://www.booking.com/hotel/sa/shq-bgrftyn-wsl-mwdrn-wrqy.ar.html
